lat,lon,cluster,grid_lat,grid_lon,grid_id
-33.4442897,-70.6707172,5,-3344,-7067,-3344_-7067
-33.4329608,-70.6747506,5,-3343,-7067,-3343_-7067
-33.4665944,-70.6521008,3,-3347,-7065,-3347_-7065
-33.4665583,-70.6457185,3,-3347,-7065,-3347_-7065
-33.4684006,-70.6523191,3,-3347,-7065,-3347_-7065
-33.4615422,-70.6553122,3,-3346,-7066,-3346_-7066
-33.4682103,-70.6366642,6,-3347,-7064,-3347_-7064
-33.4677878,-70.6738372,1,-3347,-7067,-3347_-7067
-33.4497883,-70.6466983,0,-3345,-7065,-3345_-7065
-33.4586352,-70.6320159,6,-3346,-7063,-3346_-7063
-33.4394287,-70.6419639,0,-3344,-7064,-3344_-7064
-33.4672055,-70.6471688,3,-3347,-7065,-3347_-7065
-33.4542628,-70.6463267,0,-3345,-7065,-3345_-7065
-33.4701116,-70.6485944,3,-3347,-7065,-3347_-7065
-33.4745414,-70.6716074,1,-3347,-7067,-3347_-7067
-33.4559114,-70.6408446,0,-3346,-7064,-3346_-7064
-33.4555384,-70.6726906,1,-3346,-7067,-3346_-7067
-33.4544553,-70.6371529,0,-3345,-7064,-3345_-7064
-33.4530404,-70.6715384,1,-3345,-7067,-3345_-7067
-33.4548507,-70.6480582,0,-3345,-7065,-3345_-7065
-33.4583784,-70.6553421,3,-3346,-7066,-3346_-7066
-33.4476264,-70.6455195,0,-3345,-7065,-3345_-7065
-33.4629106,-70.6480244,3,-3346,-7065,-3346_-7065
-33.4418542,-70.6719184,5,-3344,-7067,-3344_-7067
-33.4482822,-70.6550258,9,-3345,-7066,-3345_-7066
-33.4389999,-70.6742924,5,-3344,-7067,-3344_-7067
-33.4469299,-70.6791544,5,-3345,-7068,-3345_-7068
-33.4398025,-70.6769328,5,-3344,-7068,-3344_-7068
-33.444601,-70.661559,9,-3344,-7066,-3344_-7066
-33.4336582,-70.6529548,9,-3343,-7065,-3343_-7065
-33.455772,-70.6327344,6,-3346,-7063,-3346_-7063
-33.4276819,-70.675275,5,-3343,-7068,-3343_-7068
-33.444825,-70.6417043,0,-3344,-7064,-3344_-7064
-33.4431839,-70.6655015,9,-3344,-7067,-3344_-7067
-33.4376734,-70.6727428,5,-3344,-7067,-3344_-7067
-33.4399465,-70.6744074,5,-3344,-7067,-3344_-7067
-33.4632875,-70.6414359,6,-3346,-7064,-3346_-7064
-33.4367975,-70.6416994,0,-3344,-7064,-3344_-7064
-33.455787,-70.6366355,6,-3346,-7064,-3346_-7064
-33.4388393,-70.6666881,5,-3344,-7067,-3344_-7067
-33.4330375,-70.6704594,5,-3343,-7067,-3343_-7067
-33.4346019,-70.6631533,9,-3343,-7066,-3343_-7066
-33.4469382,-70.6428242,0,-3345,-7064,-3345_-7064
-33.4451217,-70.6782807,5,-3345,-7068,-3345_-7068
-33.4511448,-70.6694735,1,-3345,-7067,-3345_-7067
-33.432015,-70.6738507,5,-3343,-7067,-3343_-7067
